"Document","WordCount","open science","open research","open scholarship","open knowledge","equity","inclusion","diversity","transparency","integrity","accountability","participation","collaboration","co creation","team science","openness","societal impact","diversity indicators","non traditional outputs","altmetrics","open science indicators","multilingualism","helsinki initiative","open data","data sharing","fair data","care principles","data repositories","data stewards","data management plan","research data management","open access","pre prints","open repository","public access","publishing ethics","open scholarly communication","reproducible","replication studies","pre registration","protocol sharing","open methods","open notebooks","open science badges","reporting guidelines","open evaluation","open peer review","open source","open source software","open software","open code","open hardware","open tools","open research information","barcelona declaration","open infrastructure","open dashboard","open educational resources","open educational practices","open education","mooc","science communication","science popularisation","citizen science","crowdsourcing","public engagement","community engagement","stakeholder engagement","knowledge exchange","knowledge brokering","transdisciplinary","open science policy","open science officers","open science awareness"
"AP_134_Malmö University_SWE.pdf",2419,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AP_135_KU Leuven_BEL.pdf",4490,8,0,0,0,1,1,1,4,1,0,0,11,0,7,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"AP_136_Maastricht University_NED.pdf",4892,52,2,0,0,1,1,0,4,3,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"AP_137_University of Luxembourg_LUX.pdf",1245,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"AP_138_Health Sciences University_UK.pdf",2110,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AP_139_Institute of Bioengineering of Catalonia (IBEC)_ESP.pdf",1118,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AP_14_UEFISCDI_ROM.pdf",2132,12,0,0,0,3,2,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AP_140_Häme University of Applied Sciences_GER.pdf",1143,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AP_141_IDIBAPS Barcelona_ESP.pdf",905,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AP_142_Fisabio Valencia_ESP.pdf",913,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
